Provincias de destino;Procedencia de los viajeros;Meses;Total
Albacete;Total;Total;2,59
Albacete;Total;Enero;2,32
Albacete;Total;Febrero;2,23
Albacete;Total;Marzo;2,45
Albacete;Total;Abril;2,61
Albacete;Total;Mayo;2,12
Albacete;Total;Junio;2,32
Albacete;Total;Julio;2,77
Albacete;Total;Agosto;3,72
Albacete;Total;Septiembre;2,51
Albacete;Total;Octubre;2,17
Albacete;Total;Noviembre;2,02
Albacete;Total;Diciembre;2,31
Albacete;Residentes en España;Total;2,58
Albacete;Residentes en España;Enero;2,32
Albacete;Residentes en España;Febrero;2,23
Albacete;Residentes en España;Marzo;2,45
Albacete;Residentes en España;Abril;2,57
Albacete;Residentes en España;Mayo;2,13
Albacete;Residentes en España;Junio;2,32
Albacete;Residentes en España;Julio;2,76
Albacete;Residentes en España;Agosto;3,72
Albacete;Residentes en España;Septiembre;2,46
Albacete;Residentes en España;Octubre;2,16
Albacete;Residentes en España;Noviembre;2,02
Albacete;Residentes en España;Diciembre;2,31
Albacete;No Residentes en España;Total;3,39
Albacete;No Residentes en España;Enero;1
Albacete;No Residentes en España;Febrero;1,67
Albacete;No Residentes en España;Marzo;0
Albacete;No Residentes en España;Abril;5,08
Albacete;No Residentes en España;Mayo;1,31
Albacete;No Residentes en España;Junio;2,2
Albacete;No Residentes en España;Julio;3,39
Albacete;No Residentes en España;Agosto;3,59
Albacete;No Residentes en España;Septiembre;4,49
Albacete;No Residentes en España;Octubre;2,54
Albacete;No Residentes en España;Noviembre;2,69
Albacete;No Residentes en España;Diciembre;2,91
Alicante;Total;Total;2,6
Alicante;Total;Enero;2,57
Alicante;Total;Febrero;2,6
Alicante;Total;Marzo;2,54
Alicante;Total;Abril;2,61
Alicante;Total;Mayo;2,3
Alicante;Total;Junio;2,39
Alicante;Total;Julio;2,8
Alicante;Total;Agosto;3,68
Alicante;Total;Septiembre;2,2
Alicante;Total;Octubre;2,21
Alicante;Total;Noviembre;2,3
Alicante;Total;Diciembre;2,34
Alicante;Residentes en España;Total;2,36
Alicante;Residentes en España;Enero;2,05
Alicante;Residentes en España;Febrero;2,02
Alicante;Residentes en España;Marzo;2,11
Alicante;Residentes en España;Abril;2,4
Alicante;Residentes en España;Mayo;2,07
Alicante;Residentes en España;Junio;2,15
Alicante;Residentes en España;Julio;2,63
Alicante;Residentes en España;Agosto;3,67
Alicante;Residentes en España;Septiembre;2
Alicante;Residentes en España;Octubre;1,99
Alicante;Residentes en España;Noviembre;2,05
Alicante;Residentes en España;Diciembre;2,15
Alicante;No Residentes en España;Total;3,71
Alicante;No Residentes en España;Enero;5,13
Alicante;No Residentes en España;Febrero;5,29
Alicante;No Residentes en España;Marzo;4,68
Alicante;No Residentes en España;Abril;4,1
Alicante;No Residentes en España;Mayo;3,38
Alicante;No Residentes en España;Junio;3,3
Alicante;No Residentes en España;Julio;3,73
Alicante;No Residentes en España;Agosto;3,69
Alicante;No Residentes en España;Septiembre;2,78
Alicante;No Residentes en España;Octubre;3,04
Alicante;No Residentes en España;Noviembre;3,67
Alicante;No Residentes en España;Diciembre;4,26
Almería;Total;Total;2,85
Almería;Total;Enero;2,51
Almería;Total;Febrero;2,46
Almería;Total;Marzo;2,68
Almería;Total;Abril;2,84
Almería;Total;Mayo;2,53
Almería;Total;Junio;2,76
Almería;Total;Julio;3,02
Almería;Total;Agosto;3,37
Almería;Total;Septiembre;2,81
Almería;Total;Octubre;2,59
Almería;Total;Noviembre;2,65
Almería;Total;Diciembre;2,95
Almería;Residentes en España;Total;2,59
Almería;Residentes en España;Enero;2,35
Almería;Residentes en España;Febrero;2,17
Almería;Residentes en España;Marzo;2,2
Almería;Residentes en España;Abril;2,44
Almería;Residentes en España;Mayo;2,14
Almería;Residentes en España;Junio;2,63
Almería;Residentes en España;Julio;2,91
Almería;Residentes en España;Agosto;3,16
Almería;Residentes en España;Septiembre;2,43
Almería;Residentes en España;Octubre;2,37
Almería;Residentes en España;Noviembre;2,21
Almería;Residentes en España;Diciembre;2,78
Almería;No Residentes en España;Total;3,87
Almería;No Residentes en España;Enero;3,25
Almería;No Residentes en España;Febrero;3,8
Almería;No Residentes en España;Marzo;4,94
Almería;No Residentes en España;Abril;4,18
Almería;No Residentes en España;Mayo;3,41
Almería;No Residentes en España;Junio;3,13
Almería;No Residentes en España;Julio;3,54
Almería;No Residentes en España;Agosto;4,34
Almería;No Residentes en España;Septiembre;4,55
Almería;No Residentes en España;Octubre;3,33
Almería;No Residentes en España;Noviembre;4,75
Almería;No Residentes en España;Diciembre;3,78
Araba;Total;Total;2,43
Araba;Total;Enero;2,53
Araba;Total;Febrero;2,16
Araba;Total;Marzo;2,13
Araba;Total;Abril;2,52
Araba;Total;Mayo;2,08
Araba;Total;Junio;2,08
Araba;Total;Julio;2,6
Araba;Total;Agosto;3,49
Araba;Total;Septiembre;2,04
Araba;Total;Octubre;2,32
Araba;Total;Noviembre;1,89
Araba;Total;Diciembre;2,54
Araba;Residentes en España;Total;2,41
Araba;Residentes en España;Enero;2,53
Araba;Residentes en España;Febrero;2,14
Araba;Residentes en España;Marzo;2,11
Araba;Residentes en España;Abril;2,53
Araba;Residentes en España;Mayo;2,08
Araba;Residentes en España;Junio;2,04
Araba;Residentes en España;Julio;2,5
Araba;Residentes en España;Agosto;3,65
Araba;Residentes en España;Septiembre;2,03
Araba;Residentes en España;Octubre;2,33
Araba;Residentes en España;Noviembre;1,91
Araba;Residentes en España;Diciembre;2,54
Araba;No Residentes en España;Total;2,57
Araba;No Residentes en España;Enero;2,29
Araba;No Residentes en España;Febrero;3,23
Araba;No Residentes en España;Marzo;2,49
Araba;No Residentes en España;Abril;2,29
Araba;No Residentes en España;Mayo;2,2
Araba;No Residentes en España;Junio;2,46
Araba;No Residentes en España;Julio;2,86
Araba;No Residentes en España;Agosto;2,94
Araba;No Residentes en España;Septiembre;2,1
Araba;No Residentes en España;Octubre;2,22
Araba;No Residentes en España;Noviembre;1,51
Araba;No Residentes en España;Diciembre;2,28
Asturias;Total;Total;3,45
Asturias;Total;Enero;2,5
Asturias;Total;Febrero;2,42
Asturias;Total;Marzo;2,48
Asturias;Total;Abril;3,04
Asturias;Total;Mayo;2,08
Asturias;Total;Junio;2,79
Asturias;Total;Julio;4,15
Asturias;Total;Agosto;4,59
Asturias;Total;Septiembre;3,22
Asturias;Total;Octubre;2,54
Asturias;Total;Noviembre;2,64
Asturias;Total;Diciembre;2,84
Asturias;Residentes en España;Total;3,42
Asturias;Residentes en España;Enero;2,4
Asturias;Residentes en España;Febrero;2,34
Asturias;Residentes en España;Marzo;2,49
Asturias;Residentes en España;Abril;3,05
Asturias;Residentes en España;Mayo;2,04
Asturias;Residentes en España;Junio;2,75
Asturias;Residentes en España;Julio;4,09
Asturias;Residentes en España;Agosto;4,61
Asturias;Residentes en España;Septiembre;3,21
Asturias;Residentes en España;Octubre;2,48
Asturias;Residentes en España;Noviembre;2,4
